membership,swat_f1_mean,swat_f1_ci95,swat_auc_mean,swat_auc_ci95,fd001_f1_mean,fd001_f1_ci95,fd001_auc_mean,fd001_auc_ci95
gaussian,0.9094846750060638,0.0208773041577867,0.9989754138161137,0.0006313909081659,0.7151569905236662,0.0240063935366679,0.9823353633512152,0.0009520762411368
bell,0.928311831639837,0.0186917434118334,0.9991653896988316,0.0004220060567172,0.7137866608204227,0.0570553506459343,0.9696880588045612,0.0183672700879577
sigmoid,0.9109842019143372,0.03543357073233,0.9985765179450224,0.0004571224070005,0.7259897948882393,0.0172618783607484,0.9662549732588096,0.0145716603809751
mixed,0.9201932602665138,0.0231250652520019,0.9992668659260056,0.0001342153962476,0.7278643361164652,0.0272087479940319,0.9815856593445966,0.0082943335743426
