accuracy,accuracy_delta,dataset,f1,f1_delta,mode,model,precision,precision_delta,recall,recall_delta,roc_auc,roc_auc_delta,seed,top_k
0.9334665112923811,0.06187226014094671,swat,0.030719482619240096,0.9086744567746994,remove,fan,0.03429602888086643,0.8917352655714806,0.027818448023426062,0.9253294289897511,0.08880260641619125,0.90924829000594,42,1
0.9620997724876533,0.0332389989456745,swat,0.0,0.9393939393939394,remove,fan,0.0,0.9260312944523471,0.0,0.9531478770131772,0.2860578250669194,0.7119930713552118,42,2
0.9951168081682481,0.00022196326507972763,swat,0.9363241678726484,0.003069771521291065,insert,fan,0.9256080114449213,0.00042328300742577873,0.9472913616398243,0.005856515373352855,0.9966988277342383,0.0013520686878929489,42,1
0.9963376061261862,-0.0009988346928583303,swat,0.9503759398496241,-0.010982000455684648,insert,fan,0.9768160741885626,-0.050784779736215535,0.9253294289897511,0.027818448023426035,0.9976422610851308,0.0004086353370005291,42,2
0.8788080572665223,0.11675267743188511,swat,0.3389830508474576,0.6040368921724855,remove,fan,0.21365890881343,0.7045103006179154,0.8199121522693997,0.14934114202049775,0.7667067167016247,0.23278128576825885,43,1
0.9639864602408301,0.03157427445757732,swat,0.09483960948396095,0.8481803335359821,remove,fan,1.0,-0.08183079056865461,0.04978038067349927,0.9194729136163982,0.9771393060579873,0.022348696411896296,43,2
0.9961711336773764,-0.0006103989789689734,swat,0.9506084466714388,-0.0075885036514957704,insert,fan,0.9299719887955182,-0.011802779364172844,0.972181551976574,-0.002928257686676483,0.9951421035929001,0.004345898876983445,43,1
0.9958936795960268,-0.0003329448976193694,swat,0.9453471196454948,-0.002327176625551708,insert,fan,0.9538002980625931,-0.035631088631247754,0.9370424597364568,0.03221083455344065,0.9992190412075677,0.0002689612623159032,43,2
0.16330947228233728,0.8309194828255924,swat,0.0023818975784041284,0.9240678902575223,remove,fan,0.0012473148083985864,0.8947855169289475,0.02635431918008785,0.9326500732064422,0.05180497918653618,0.9473386515320996,44,1
0.9620997724876533,0.03212918262027631,swat,0.0,0.9264497878359265,remove,fan,0.0,0.896032831737346,0.0,0.95900439238653,0.8490081451772669,0.1501354855413689,44,2
0.9930081571499917,0.0012207979579379469,swat,0.9131034482758621,0.013346339560064369,insert,fan,0.863102998696219,0.032929833041127066,0.9692532942898975,-0.010248901903367469,0.9989520222086845,0.00019160850995125767,44,1
0.9822984296098995,0.011930525498030087,swat,0.8093245666467423,0.11712522118918411,insert,fan,0.6838383838383838,0.21219444789896225,0.9912152269399708,-0.03221083455344076,0.9993166610566215,-0.00017303033798576894,44,2
0.9911769602130848,-0.0014427612230176745,swat,0.8899653979238754,-0.01454452250299998,remove,cbm,0.8438320209973753,-0.03335820553602864,0.9414348462664714,0.010248901903367469,0.9807569828170487,0.011824246439788966,42,1
0.9956162255146773,-0.005882026524610229,swat,0.9410887397464579,-0.06566786432558247,remove,cbm,0.958966565349544,-0.14849274988819738,0.9238653001464129,0.027818448023426035,0.985051622828655,0.007529606428182678,42,2
0.9890128183785584,0.0007213806115087262,swat,0.868,0.007420875420875439,insert,cbm,0.7968176254589964,0.013656190002350299,0.9531478770131772,-0.0014641288433382416,0.9886893977919335,0.0038918314649041275,42,1
0.990400088785306,-0.0006658897952389609,swat,0.8822328114363512,-0.006811936015475806,insert,cbm,0.8244274809160306,-0.013953665454683906,0.9487554904831625,0.002928257686676372,0.9903763380295012,0.0022048912273364696,42,2
0.9924532489872926,-0.004827701015481911,swat,0.8908507223113965,-0.04390494331345551,remove,cbm,0.9857904085257548,-0.1886327857867367,0.8125915080527086,0.09077598828696931,0.9922641758630026,0.0001919885180141634,43,1
0.9620997724876533,0.025525775484157354,swat,0.0,0.846945778997941,remove,cbm,0.0,0.7971576227390181,0.0,0.9033674963396779,0.071019115756705,0.9214370486243117,43,2
0.9847955163420454,0.0028300316297652506,swat,0.8211488250652742,0.02579695393266679,insert,cbm,0.7408716136631331,0.05628600907588499,0.9209370424597365,-0.017569546120058566,0.9910632659379182,0.0013928984430986446,43,1
0.9824649020587093,0.0051606459131013915,swat,0.8007566204287516,0.04618915856918937,insert,cbm,0.7032115171650055,0.09394610557401262,0.9297218155197657,-0.026354319180087793,0.9925891249799229,-0.00013296059890610668,43,2
0.9956162255146773,-0.0012762887742078233,swat,0.9419544452608376,-0.01512517696815463,remove,cbm,0.9454277286135693,-0.03684826307207845,0.9385065885797951,0.007320644216690986,0.9928279389359134,0.00031578670029208666,44,1
0.9959491704122968,-0.0016092336718273037,swat,0.9458858413639734,-0.019056573071290384,remove,cbm,0.9579579579579579,-0.04937849241646708,0.9341142020497804,0.01171303074670571,0.9934487876644991,-0.0003050620282936123,44,2
0.9953942622495977,-0.0010543255091282067,swat,0.9370735405610311,-0.01024427226834812,insert,cbm,0.9716981132075472,-0.06311864766605635,0.9048316251830161,0.040995607613469986,0.9931340987652777,9.626870927759157e-06,44,1
0.9954497530658676,-0.001109816325398083,swat,0.9398826979472141,-0.013053429654531157,insert,cbm,0.9412628487518355,-0.032683383210344696,0.9385065885797951,0.007320644216690986,0.9930966468595204,4.707877668508331e-05,44,2
