accuracy,accuracy_delta,dataset,f1,f1_delta,mode,model,precision,precision_delta,recall,recall_delta,roc_auc,roc_auc_delta,seed,top_k
0.03442526480972931,0.9475284425264809,fd001,0.0552730064293254,0.6725376444582486,remove,fan,0.028545941123996433,0.686570337945771,0.8674698795180723,-0.12650602409638556,0.5447123042046531,0.4401526421989662,42,1
0.49029030992546097,0.49166339741074927,fd001,0.1111681204036258,0.6166425304839482,remove,fan,0.05893019038984588,0.6561860886799216,0.9789156626506024,-0.23795180722891562,0.944558342860493,0.04030660354312632,42,2
0.9779325225578658,0.004021184778344455,fd001,0.7003994673768309,0.02741118351074312,insert,fan,0.6276849642004774,0.08743131486929012,0.7921686746987951,-0.051204819277108404,0.9831196745619949,0.0017452718416244295,42,1
0.9585131424087877,0.023440564927422525,fd001,0.5881207400194742,0.1396899108680998,insert,fan,0.43453237410071943,0.28058390496904806,0.9096385542168675,-0.1686746987951807,0.9870255046951798,-0.002160558291560477,42,2
0.7934484111416241,0.19095723813260101,fd001,0.21884272997032642,0.5307635692422721,remove,fan,0.12478849407783418,0.6606900537769512,0.8885542168674698,-0.17168674698795172,0.9092073891673751,0.07086069338179979,43,1
0.9486072969792075,0.0357983522950176,fd001,0.4971209213051823,0.25248537790741615,remove,fan,0.3647887323943662,0.4206898154604192,0.7801204819277109,-0.06325301204819278,0.9425643571854327,0.037503725363742135,43,2
0.9792075323656336,0.00519811690859151,fd001,0.7246753246753247,0.024930974537273776,insert,fan,0.636986301369863,0.14849224648492243,0.8403614457831325,-0.12349397590361444,0.9812101202864987,-0.0011420377373237978,43,1
0.9528246371125931,0.031581012161632005,fd001,0.5607305936073059,0.18887570560529254,insert,fan,0.40235910878112713,0.3831194390736583,0.9246987951807228,-0.20783132530120474,0.9771523747056351,0.002915707843539783,43,2
0.03275794429187917,0.9496861514319341,fd001,0.062190947128185625,0.6467521423027087,remove,fan,0.03210919088766693,0.7382088303137465,0.9849397590361446,-0.3283132530120483,0.21122797149669237,0.7771540847086642,44,1
0.032561788936837976,0.9498823067869753,fd001,0.06306990881458967,0.6458731806163047,remove,fan,0.032561788936837976,0.7377562322645754,1.0,-0.34337349397590367,0.8012181023363527,0.18716395386900386,44,2
0.9825421734013339,-9.80776775205694e-05,fd001,0.7129032258064516,-0.003960136375557255,insert,fan,0.7673611111111112,0.0029569100903023005,0.6656626506024096,-0.009036144578313254,0.989153542393418,-0.0007714861880614432,44,1
0.9830325617889368,-0.0005884660651235274,fd001,0.7374810318664643,-0.028537942435569952,insert,fan,0.7431192660550459,0.027198755146367604,0.7319277108433735,-0.07530120481927716,0.9893036256949941,-0.0009215694896375082,44,2
0.9802863868183601,0.0005884660651236384,fd001,0.6378378378378379,-0.0023238191462491287,remove,cbm,0.7937219730941704,0.04371645055114981,0.5331325301204819,-0.02108433734939752,0.9493726121029128,0.0004000185657472288,42,1
0.9747940368772068,0.006080816006276968,fd001,0.6791510611735331,-0.04363704248194433,remove,cbm,0.579957356076759,0.25748106756856115,0.8192771084337349,-0.30722891566265054,0.9477560485250002,0.0020165821436598508,42,2
0.9803844644958808,0.000490388387602958,fd001,0.6575342465753424,-0.022020227883753685,insert,cbm,0.7619047619047619,0.07553366174055831,0.5783132530120482,-0.06626506024096379,0.9594646835517251,-0.009692052883065072,42,1
0.9807767752059631,9.807767752068042e-05,fd001,0.6329588014981273,0.002555217193461412,insert,cbm,0.8366336633663366,0.0008047602789835739,0.5090361445783133,0.003012048192771122,0.9600471533335287,-0.010274522664868724,42,2
0.9811690859160455,0.002157708905453193,fd001,0.7209302325581395,0.019923425978445874,remove,cbm,0.6966292134831461,0.053370786516853896,0.7469879518072289,-0.015060240963855387,0.9827724828755412,0.0010446286361992518,43,1
0.9624362495096116,0.020890545311887054,fd001,0.15824175824175823,0.5826119002948271,remove,cbm,0.2926829268292683,0.4573170731707317,0.10843373493975904,0.6234939759036144,0.29311528351850225,0.6907018279932382,43,2
0.9839152608866222,-0.0005884660651235274,fd001,0.740506329113924,0.0003473294226613577,insert,cbm,0.78,-0.030000000000000027,0.7048192771084337,0.027108433734939763,0.9887900140708821,-0.004972902559141623,43,1
0.9840133385641427,-0.0006865437426440968,fd001,0.7433070866141732,-0.0024534280775878603,insert,cbm,0.7788778877887789,-0.028877887788778867,0.7108433734939759,0.02108433734939763,0.9830138681245665,0.0008032433871739686,43,2
0.975970969007454,0.004021184778344455,fd001,0.6554149085794655,-0.015838936848016738,remove,cbm,0.6147757255936676,0.15872854791060598,0.7018072289156626,-0.15662650602409633,0.9772653570486325,-0.0019952071057953713,44,1
0.9780306002353865,0.001961553550411943,fd001,0.6553846153846153,-0.015808643653166587,remove,cbm,0.6698113207547169,0.10369295274955659,0.641566265060241,-0.09638554216867468,0.9765921960347473,-0.0013220460919102228,44,2
0.9809729305610043,-0.000980776775205916,fd001,0.62109375,0.018482221731448756,insert,cbm,0.8833333333333333,-0.10982905982905977,0.4789156626506024,0.06626506024096385,0.9735140379034386,0.0017561120393985163,44,1
0.9812671635935661,-0.0012750098077677352,fd001,0.64030131826742,-0.0007253465359712274,insert,cbm,0.8542713567839196,-0.0807670832796461,0.5120481927710844,0.033132530120481896,0.9744647690518765,0.0008053808909606053,44,2
