accuracy,dataset,f1,membership,model,precision,recall,roc_auc,seed
0.9928971755174518,swat,0.9124487004103967,mixed,fan,0.8562259306803595,0.9765739385065886,0.999399587260576,42
0.992231285722213,swat,0.9047619047619048,mixed,fan,0.8449809402795425,0.9736456808199122,0.9991712446378751,43
0.9956162255146773,swat,0.9433691756272401,mixed,fan,0.9241573033707865,0.9633967789165446,0.9992297658795658,44
0.9897341989900671,swat,0.8754208754208754,none,cbm,0.8104738154613467,0.9516837481698389,0.9925812292568377,42
0.9876255479718107,swat,0.846945778997941,none,cbm,0.7971576227390181,0.9033674963396779,0.9924561643810168,43
0.9943399367404695,swat,0.926829268292683,none,cbm,0.9085794655414908,0.9458272327964861,0.9931437256362055,44
0.9908995061317352,swat,0.890520694259012,none,transformer,0.8184049079754602,0.9765739385065886,0.9992398149816744,42
0.9925642306198325,swat,0.9099462365591398,none,transformer,0.8409937888198757,0.9912152269399708,0.9988810873702716,43
0.9941734642916598,swat,0.9262122276879832,none,transformer,0.8905405405405405,0.9648609077598829,0.9989667158537843,44
0.9926197214361023,swat,0.908716540837337,none,cnn,0.8552971576227391,0.9692532942898975,0.9991736935787251,42
0.9913434326618945,swat,0.896,none,cnn,0.8225214198286414,0.9838945827232797,0.9993975605509069,43
0.9919538316408635,swat,0.902488231338265,none,cnn,0.8345771144278606,0.9824304538799414,0.9994558284538889,44
