control,control_index,method,model_pairs,mean_pair_spearman,median_pair_spearman,minimum_pair_spearman,maximum_pair_spearman
true_clinical_proxy_map,0,integrated_gradients,435,0.7803374521072796,0.7715416666666663,0.6588749999999999,0.9639999999999997
true_clinical_proxy_map,0,gradient_shap,435,0.8456888888888887,0.8414999999999999,0.7621666666666664,0.9676666666666666
permuted_map,1,integrated_gradients,435,0.7149501461988301,0.7049912280701753,0.6007499999999999,0.9654999999999999
permuted_map,1,gradient_shap,435,0.8163153256704978,0.8131666666666665,0.7276666666666665,0.965333333333333
permuted_map,2,integrated_gradients,435,0.7288340996168581,0.7186666666666666,0.6323333333333332,0.9664999999999998
permuted_map,2,gradient_shap,435,0.7992344827586205,0.7949999999999998,0.6969999999999998,0.9651666666666665
permuted_map,3,integrated_gradients,435,0.6792224843718491,0.6654736842105261,0.5094473684210525,0.9591666666666665
permuted_map,3,gradient_shap,435,0.8161429118773944,0.8119999999999998,0.7266666666666665,0.9711666666666664
permuted_map,4,integrated_gradients,435,0.6718467836257309,0.6566842105263156,0.49008771929824546,0.9501666666666665
permuted_map,4,gradient_shap,435,0.7599685823754787,0.7573333333333331,0.6011666666666665,0.9658333333333331
permuted_map,5,integrated_gradients,435,0.7092673724541236,0.6948070175438594,0.5918596491228069,0.9643070175438595
permuted_map,5,gradient_shap,435,0.805169731800766,0.8054999999999999,0.6936666666666665,0.9671666666666666
permuted_map,6,integrated_gradients,435,0.7288306916717079,0.7143421052631577,0.6251140350877191,0.968157894736842
permuted_map,6,gradient_shap,435,0.7987739463601532,0.7944999999999998,0.6788333333333332,0.9666666666666667
permuted_map,7,integrated_gradients,435,0.7233072796934864,0.7101666666666665,0.6086666666666666,0.9626666666666666
permuted_map,7,gradient_shap,435,0.8165704980842909,0.8119999999999998,0.7349999999999998,0.9724999999999998
permuted_map,8,integrated_gradients,435,0.7290191570881225,0.7178333333333331,0.5968333333333332,0.9604999999999999
permuted_map,8,gradient_shap,435,0.8337946360153254,0.8324999999999998,0.7251666666666665,0.9706666666666665
permuted_map,9,integrated_gradients,435,0.7158257309941518,0.7048333333333331,0.5888333333333332,0.9676666666666666
permuted_map,9,gradient_shap,435,0.8193076628352489,0.8184999999999999,0.6999999999999998,0.9675
permuted_map,10,integrated_gradients,435,0.6683252873563217,0.6509999999999998,0.5244999999999999,0.9553333333333333
