method,feature_space,value_view,model_a,model_b,spearman,kendall,top1_agreement,top3_jaccard,sign_agreement,cosine_similarity
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_02_init_11_order_2003,0.9388304603805966,0.8665474379628146,0.7283333333333334,0.6761666666666667,0.9489775910364145,0.9667377289628469
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_03_init_11_order_3007,0.8706531509188953,0.7762083482176239,0.65,0.5478333333333333,0.9107422969187674,0.9138868489958645
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_04_init_23_order_1001,0.5127078991724076,0.4154123923258066,0.4666666666666667,0.3385,0.7626050420168067,0.6442582463381217
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_05_init_23_order_2003,0.5001698310385979,0.405100206237675,0.455,0.311,0.7605742296918767,0.6167953674951466
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_06_init_23_order_3007,0.5245136478065068,0.4237198691824531,0.45166666666666666,0.3283333333333333,0.7647619047619048,0.6639236404120102
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_07_init_37_order_1001,0.42384653212985096,0.33832755719867874,0.51,0.36450000000000005,0.7320588235294118,0.6480634060702464
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_08_init_37_order_2003,0.36949910749580234,0.28871918871587404,0.49666666666666665,0.3536666666666667,0.7079551820728291,0.6189529315710024
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_09_init_37_order_3007,0.32362865200627605,0.2475989197731592,0.46166666666666667,0.3375,0.6891316526610645,0.5852196907771947
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_10_init_41_order_1001,0.4865661784388752,0.3844977211210617,0.21833333333333332,0.18216666666666667,0.7477170868347339,0.6106402909291039
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_11_init_41_order_2003,0.43602947218877613,0.34197776930877394,0.2733333333333333,0.19683333333333333,0.7299019607843138,0.5880334026531279
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_12_init_41_order_3007,0.4343577797134418,0.34242345659521284,0.26666666666666666,0.18150000000000002,0.7322128851540616,0.5738132467187222
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_13_init_53_order_1001,0.383445327792449,0.308383871111489,0.34833333333333333,0.22966666666666663,0.7246638655462184,0.5743729463466986
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_14_init_53_order_2003,0.3748246447256293,0.29877439723933225,0.34833333333333333,0.2368333333333333,0.7201680672268908,0.5680303190864762
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_15_init_53_order_3007,0.4099290264099656,0.3284998896369628,0.465,0.2816666666666667,0.7314285714285714,0.6252325655614317
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_16_init_67_order_1001,0.3237293152592114,0.2452212105377712,0.495,0.3215,0.6867226890756303,0.547279836151294
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_17_init_67_order_2003,0.2981481685203715,0.22039228432784075,0.45666666666666667,0.2755,0.6734733893557423,0.5148839302096831
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_18_init_67_order_3007,0.35262988897385117,0.27425818791366896,0.46166666666666667,0.3251666666666667,0.7003781512605042,0.5545295282525895
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_19_init_79_order_1001,0.45413657090545645,0.37113822293080023,0.32,0.20450000000000002,0.7501120448179271,0.5512856482308769
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_20_init_79_order_2003,0.43642963116789624,0.35536349735937467,0.31666666666666665,0.22199999999999998,0.7437394957983194,0.5375544202559641
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_21_init_79_order_3007,0.44794194111379965,0.3677722707525105,0.31833333333333336,0.20483333333333334,0.7504901960784314,0.5433348200541518
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_22_init_83_order_1001,0.4703709567790996,0.3793297272685487,0.39,0.2886666666666666,0.749187675070028,0.6716768526386216
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_23_init_83_order_2003,0.40627200127932006,0.32095382548033413,0.40166666666666667,0.2781666666666666,0.7206862745098039,0.6061933532530299
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_24_init_83_order_3007,0.45233104501403365,0.36442598173098023,0.38,0.2921666666666667,0.7433193277310924,0.6678003640520954
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_25_init_97_order_1001,0.42732983645813005,0.33305911125655846,0.4066666666666667,0.27949999999999997,0.7253361344537815,0.6225337326249377
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_26_init_97_order_2003,0.4167143584063187,0.32617088300037694,0.44333333333333336,0.27133333333333337,0.7233333333333334,0.6160531800264692
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_27_init_97_order_3007,0.41248960927044864,0.31976807191295575,0.45,0.27349999999999997,0.7181792717086835,0.6236667524701149
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_28_init_109_order_1001,0.41781609540455183,0.33039576572867996,0.4633333333333333,0.3641666666666667,0.7231372549019608,0.6476216128766451
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_29_init_109_order_2003,0.40943520349950074,0.32303392803080194,0.4816666666666667,0.3571666666666667,0.7198319327731093,0.6338000330898185
integrated_gradients,full_input_channels,signed,run_01_init_11_order_1001,run_30_init_109_order_3007,0.41166158962571314,0.32267348182996286,0.475,0.35150000000000003,0.7171008403361345,0.6487489044123471
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_03_init_11_order_3007,0.9200767261874,0.8379929355618475,0.6933333333333334,0.6158333333333335,0.9342016806722688,0.9554565302569475
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_04_init_23_order_1001,0.5545593733545521,0.45507973088700093,0.5483333333333333,0.3471666666666667,0.7812464985994396,0.6580515085612171
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_05_init_23_order_2003,0.5393377174331033,0.44073880259279424,0.5566666666666666,0.35633333333333334,0.7769747899159664,0.6346282649145512
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_06_init_23_order_3007,0.5588199173373677,0.45532810614916563,0.46166666666666667,0.31883333333333336,0.7799579831932772,0.6619836705897912
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_07_init_37_order_1001,0.43301276998993143,0.34692102927895746,0.445,0.30450000000000005,0.7361904761904762,0.6394234627985536
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_08_init_37_order_2003,0.3803440469178929,0.2966800158490814,0.4216666666666667,0.3061666666666667,0.7101820728291316,0.6121572805570265
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_09_init_37_order_3007,0.3349238298020224,0.25562250358405525,0.39166666666666666,0.3086666666666667,0.6907422969187677,0.589925756560726
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_10_init_41_order_1001,0.4915227052759629,0.3912925150268532,0.225,0.18966666666666665,0.751204481792717,0.592020234118119
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_11_init_41_order_2003,0.44636303990875653,0.35343112166792695,0.285,0.21566666666666662,0.7349019607843138,0.5857431227511141
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_12_init_41_order_3007,0.44020724327668936,0.3497450695169483,0.2816666666666667,0.18933333333333333,0.7359523809523809,0.5662729470191802
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_13_init_53_order_1001,0.3812795754568981,0.30619588678627174,0.39666666666666667,0.2808333333333333,0.722296918767507,0.6010006961052905
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_14_init_53_order_2003,0.37287184656642114,0.29749867010419234,0.3933333333333333,0.28800000000000003,0.718389355742297,0.5917139134966116
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_15_init_53_order_3007,0.40639409772343765,0.32584660573699353,0.515,0.30100000000000005,0.7293697478991596,0.6293078140581143
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_16_init_67_order_1001,0.3284743111731948,0.2510348779786397,0.5616666666666666,0.33199999999999996,0.6900420168067228,0.555451227718911
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_17_init_67_order_2003,0.29638719702355126,0.2206703172958693,0.5316666666666666,0.29850000000000004,0.6747759103641457,0.5273795628088397
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_18_init_67_order_3007,0.35010624581485006,0.273820631432634,0.48333333333333334,0.30916666666666665,0.7021008403361345,0.5443433404559985
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_19_init_79_order_1001,0.44808188961037104,0.3674734897686415,0.31,0.1795,0.7507422969187675,0.520298501392434
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_20_init_79_order_2003,0.4340224889557693,0.35369943376237273,0.31666666666666665,0.20400000000000001,0.7441176470588236,0.5218748726951621
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_21_init_79_order_3007,0.45061837402808746,0.37055819362588577,0.32,0.19716666666666666,0.7523249299719887,0.5299742658937212
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_22_init_83_order_1001,0.4635062586244403,0.3744489350939897,0.395,0.2751666666666667,0.7478851540616247,0.6505897401343139
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_23_init_83_order_2003,0.40557956344670887,0.3209661248640057,0.46,0.322,0.7212324929971989,0.6203624740386788
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_24_init_83_order_3007,0.4413007463951075,0.35567686377666413,0.3983333333333333,0.26949999999999996,0.7402521008403361,0.6461328469045541
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_25_init_97_order_1001,0.41982797093421276,0.3289685062755287,0.4266666666666667,0.26549999999999996,0.7253501400560225,0.5889478311926506
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_26_init_97_order_2003,0.41404707089552373,0.32576942295511896,0.49166666666666664,0.26666666666666666,0.7244677871148459,0.592785665209886
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_27_init_97_order_3007,0.4065954853538076,0.3166856289019821,0.49166666666666664,0.26366666666666666,0.7181372549019608,0.5962358643643944
integrated_gradients,full_input_channels,signed,run_02_init_11_order_2003,run_28_init_109_order_1001,0.40495700923127287,0.3163717575141798,0.4766666666666667,0.3225,0.7142997198879552,0.6180322062834943
