method,feature_space,value_view,metric,model_pairs,mean,std,median,iqr,ci95_low,ci95_high,minimum,maximum
integrated_gradients_median_baseline,proxy_concept_v_only,absolute,spearman,435,0.8493812260536396,0.0339505633260692,0.8488333333333332,0.034916666666666596,0.7879249999999998,0.9405249999999998,0.7473333333333331,0.9569999999999997
integrated_gradients_median_baseline,proxy_concept_v_only,absolute,kendall,435,0.7647386973180077,0.04549042000438331,0.7613333333333333,0.04533333333333334,0.6874166666666668,0.8968333333333331,0.6516666666666666,0.9206666666666666
integrated_gradients_median_baseline,proxy_concept_v_only,absolute,top1_agreement,435,0.7277547892720306,0.06149957558935301,0.7266666666666667,0.06000000000000005,0.6016666666666667,0.8866666666666667,0.535,0.9316666666666666
integrated_gradients_median_baseline,proxy_concept_v_only,absolute,top3_jaccard,435,0.8676475095785442,0.02989235493514114,0.8666666666666667,0.030750000000000055,0.8096833333333333,0.9408333333333333,0.7793333333333333,0.9566666666666667
integrated_gradients_median_baseline,proxy_concept_v_only,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
integrated_gradients_median_baseline,proxy_concept_v_only,absolute,cosine_similarity,435,0.9705369033413981,0.009651047035282257,0.9706710876455782,0.009401771819614213,0.949924789097652,0.9945955153228443,0.9371453602327783,0.9971305530736352
integrated_gradients_median_baseline,proxy_concept_v_only,signed,spearman,435,0.7705984674329501,0.05471369832252394,0.7683333333333331,0.05725000000000002,0.6784749999999998,0.920483333333333,0.6518333333333332,0.9603333333333333
integrated_gradients_median_baseline,proxy_concept_v_only,signed,kendall,435,0.6898222222222222,0.06147122736550385,0.687,0.058833333333333404,0.5961333333333334,0.8695833333333332,0.566,0.9263333333333332
integrated_gradients_median_baseline,proxy_concept_v_only,signed,top1_agreement,435,0.6813180076628352,0.058771340167677884,0.6733333333333333,0.06249999999999989,0.5930833333333334,0.8548333333333331,0.545,0.9216666666666666
integrated_gradients_median_baseline,proxy_concept_v_only,signed,top3_jaccard,435,0.7098180076628353,0.0407915695399799,0.702,0.029999999999999916,0.6626833333333333,0.8460833333333332,0.645,0.9033333333333333
integrated_gradients_median_baseline,proxy_concept_v_only,signed,sign_agreement,435,0.870544061302682,0.026427388223037942,0.869,0.026333333333333542,0.8276166666666667,0.9419333333333334,0.7996666666666666,0.9743333333333334
integrated_gradients_median_baseline,proxy_concept_v_only,signed,cosine_similarity,435,0.8465767690711791,0.04707903667240127,0.8465082530574501,0.053898792583163324,0.7647611789742083,0.9681350912537858,0.7420733511645066,0.9910095417377452
