model_arm,reporting_state,metric,n,mean,std,median,q25,q75,ci95_low,ci95_high
ConceptFAN-NoAlpha,primary_calibrated,AUROC,30,0.7696814336650276,0.03230740392909149,0.7794213604903171,0.7518002377012887,0.7945282095499988,0.7578683398973067,0.7806017687772366
ConceptFAN-NoAlpha,primary_calibrated,AUPRC,30,0.34744913379924713,0.039001086117987804,0.3459150230970457,0.31790303345172927,0.37877589143807844,0.33397377978113285,0.36164174384939674
ConceptFAN-NoAlpha,primary_calibrated,Brier,30,0.10777872599181057,0.003142687006915787,0.10713110813338325,0.10577831699657973,0.10888954769118324,0.10673879195287532,0.1089354000640409
ConceptFAN-NoAlpha,primary_calibrated,NLL,30,0.35603434584223165,0.01635351026767528,0.3523601092661242,0.34620952387841286,0.35926304462479736,0.35059948565794896,0.3619159300816283
ConceptFAN-NoAlpha,primary_calibrated,ECE10,30,0.04544884317318556,0.011224780037361784,0.044325850728506755,0.037131679379242735,0.05031464369975066,0.04156430264644299,0.04960591244537092
ConceptFAN-NoAlpha,primary_calibrated,ECE15,30,0.050513340275420204,0.01178359462536743,0.05102958991643568,0.04179482816995911,0.05844761870016173,0.04630732711319697,0.05470556709956851
ConceptFAN-NoAlpha,primary_calibrated,ECE20,30,0.054298090320621425,0.00988108327509708,0.05319186963434243,0.0472361000561141,0.05901973679640157,0.05098997240605842,0.05801459184448914
ConceptFAN-NoAlpha,primary_calibrated,calibration_slope,30,0.6911424163173159,0.10377575730244583,0.7022232099426942,0.6419019809787783,0.7633415636289134,0.6544505002059423,0.7254789854709963
ConceptFAN-NoAlpha,primary_calibrated,calibration_intercept,30,-0.4406442707838988,0.15466148479044095,-0.4149344281051135,-0.4668452748167924,-0.33765063884425894,-0.4979063207769521,-0.3908945164598166
ConceptFAN-NoAlpha,raw,AUROC,30,0.7696814336650276,0.03230740392909149,0.7794213604903171,0.7518002377012887,0.7945282095499988,0.7578683398973067,0.7806017687772366
ConceptFAN-NoAlpha,raw,AUPRC,30,0.34744913379924713,0.039001086117987804,0.3459150230970457,0.31790303345172927,0.37877589143807844,0.33397377978113285,0.36164174384939674
ConceptFAN-NoAlpha,raw,Brier,30,0.12510686383144554,0.0127245327001233,0.12142582636785099,0.11541047611673765,0.13461437328719866,0.12089061542026514,0.12978707647860838
ConceptFAN-NoAlpha,raw,NLL,30,0.41053841487965426,0.03296238282571236,0.4057709236910755,0.3837052804321729,0.4288856339480395,0.3991657170820881,0.42240800597777256
ConceptFAN-NoAlpha,raw,ECE10,30,0.11680728511945834,0.03901699154060588,0.10590974945558226,0.08465815739913687,0.1527867961977911,0.10412897081245497,0.13119169417685606
ConceptFAN-NoAlpha,raw,ECE15,30,0.11952972569736245,0.03793704945724164,0.10421460907998964,0.08756709004497346,0.15332482308852924,0.10717310855237035,0.1337860312815141
