model_arm,representation,metric,model_pairs,patients,mean,median,std,ci95_low_hierarchical,ci95_high_hierarchical
ConceptFAN-NoAlpha,absolute,spearman,435,600,0.048542528735632175,0.0,0.5271143282511737,0.007786465517241377,0.08788205938697316
ConceptFAN-NoAlpha,absolute,kendall,435,600,0.04471264367816091,0.0,0.45349155919804085,0.011859195402298846,0.0788428927203065
ConceptFAN-NoAlpha,absolute,top1_agreement,435,600,0.2666896551724138,0.0,0.44222961490090995,0.23616925287356322,0.29594530651340994
ConceptFAN-NoAlpha,absolute,top3_jaccard,435,600,0.48142720306513415,0.5,0.23810776289652968,0.46493621647509575,0.49782948275862077
ConceptFAN-NoAlpha,absolute,sign_agreement,435,600,1.0,1.0,0.0,1.0,1.0
ConceptFAN-NoAlpha,absolute,cosine_similarity,435,600,0.596375235464592,0.5813001634595668,0.25010288014771426,0.5767924697974933,0.617343225859112
ConceptFAN-NoAlpha,absolute,absolute_difference,435,600,0.19738131052482846,0.18764772831927984,0.11223657093493676,0.18984172289801632,0.2048191658824265
ConceptFAN-NoAlpha,l1_normalized,spearman,435,600,0.0034685823754789192,0.0,0.5279872453719926,-0.04108724137931034,0.04991128352490419
ConceptFAN-NoAlpha,l1_normalized,kendall,435,600,0.01708965517241379,0.0,0.44944945166825906,-0.021806800766283524,0.056937068965517215
ConceptFAN-NoAlpha,l1_normalized,top1_agreement,435,600,0.2666896551724138,0.0,0.44222961490090995,0.2356743295019157,0.29692998084291183
ConceptFAN-NoAlpha,l1_normalized,top3_jaccard,435,600,0.48142720306513415,0.5,0.23810776289652968,0.46560902298850576,0.49731061302681995
ConceptFAN-NoAlpha,l1_normalized,sign_agreement,435,600,0.519080459770115,0.6,0.24198285194655744,0.49701149425287355,0.5416206896551724
ConceptFAN-NoAlpha,l1_normalized,cosine_similarity,435,600,0.0742929310965025,0.0675930857062938,0.47458626578270585,0.037528403261848524,0.11277333550397922
ConceptFAN-NoAlpha,l1_normalized,absolute_difference,435,600,0.2789636424196577,0.30529801847830507,0.09942247173228107,0.27039112136572285,0.2879147294534519
ConceptFAN-NoAlpha,signed,spearman,435,600,0.0034685823754789192,0.0,0.5279872453719926,-0.03883634099616858,0.0475433141762452
ConceptFAN-NoAlpha,signed,kendall,435,600,0.01708965517241379,0.0,0.44944945166825906,-0.019146187739463597,0.05758628352490421
ConceptFAN-NoAlpha,signed,top1_agreement,435,600,0.2666896551724138,0.0,0.44222961490090995,0.23645181992337166,0.2963538314176245
ConceptFAN-NoAlpha,signed,top3_jaccard,435,600,0.48142720306513415,0.5,0.23810776289652968,0.46547781609195404,0.4971182183908046
ConceptFAN-NoAlpha,signed,sign_agreement,435,600,0.519080459770115,0.6,0.24198285194655744,0.49654022988505747,0.5416091954022989
