model_arm,representation,metric,model_pairs,patients,mean,median,std,ci95_low_hierarchical,ci95_high_hierarchical
ConceptFAN-NoAlpha,signed,cosine_similarity,435,600,0.07429293109650252,0.0675930857062938,0.47458626578270585,0.034935120135794605,0.10999040253794119
ConceptFAN-NoAlpha,signed,absolute_difference,435,600,0.2623380785724337,0.2520651663187891,0.1317344673846436,0.25109507537925085,0.27286632303082475
ConceptFAN-StabilityReg,absolute,spearman,435,600,0.0906773946360153,0.09999999999999999,0.5102512963372516,0.05531313218390803,0.12657090038314173
ConceptFAN-StabilityReg,absolute,kendall,435,600,0.0849823754789272,0.0,0.4413693934545349,0.05413521072796934,0.11347559386973179
ConceptFAN-StabilityReg,absolute,top1_agreement,435,600,0.26182375478927206,0.0,0.4396280436075427,0.23673113026819922,0.2844829501915709
ConceptFAN-StabilityReg,absolute,top3_jaccard,435,600,0.48987547892720307,0.5,0.23587167421985847,0.47608347701149434,0.5042528448275861
ConceptFAN-StabilityReg,absolute,sign_agreement,435,600,1.0,1.0,0.0,1.0,1.0
ConceptFAN-StabilityReg,absolute,cosine_similarity,435,600,0.6065635050154801,0.5925923268693543,0.24176932998511896,0.589663709029936,0.6230762405065432
ConceptFAN-StabilityReg,absolute,absolute_difference,435,600,0.18061349830538911,0.1600035403855145,0.11523745611539944,0.1739626187734348,0.1875486694872995
ConceptFAN-StabilityReg,l1_normalized,spearman,435,600,0.0003747126436781651,0.0,0.5298223661870483,-0.044738611111111104,0.04662770114942528
ConceptFAN-StabilityReg,l1_normalized,kendall,435,600,0.011475095785440616,0.0,0.45296755555974005,-0.025736302681992333,0.049162049808429115
ConceptFAN-StabilityReg,l1_normalized,top1_agreement,435,600,0.26182375478927206,0.0,0.4396280436075427,0.23529454022988505,0.2857992337164751
ConceptFAN-StabilityReg,l1_normalized,top3_jaccard,435,600,0.48987547892720307,0.5,0.23587167421985847,0.475399683908046,0.5049913601532567
ConceptFAN-StabilityReg,l1_normalized,sign_agreement,435,600,0.519080459770115,0.6,0.24198285194655744,0.4970114942528736,0.5411494252873563
ConceptFAN-StabilityReg,l1_normalized,cosine_similarity,435,600,0.07656162907176163,0.10216092631173546,0.47773985889894116,0.03976163514125464,0.11377064710601321
ConceptFAN-StabilityReg,l1_normalized,absolute_difference,435,600,0.27696873490404544,0.2980041657401619,0.09651240354009011,0.2676649895803219,0.2852486914757138
ConceptFAN-StabilityReg,signed,spearman,435,600,0.0003747126436781651,0.0,0.5298223661870483,-0.04134392720306512,0.04258102490421456
ConceptFAN-StabilityReg,signed,kendall,435,600,0.011475095785440616,0.0,0.45296755555974005,-0.025884003831417632,0.04982877394636016
ConceptFAN-StabilityReg,signed,top1_agreement,435,600,0.26182375478927206,0.0,0.4396280436075427,0.23864693486590038,0.2872093869731801
ConceptFAN-StabilityReg,signed,top3_jaccard,435,600,0.48987547892720307,0.5,0.23587167421985847,0.47529759578544056,0.5041023563218392
ConceptFAN-StabilityReg,signed,sign_agreement,435,600,0.519080459770115,0.6,0.24198285194655744,0.4960919540229885,0.5420689655172414
ConceptFAN-StabilityReg,signed,cosine_similarity,435,600,0.07656162907176163,0.1021609263117355,0.4777398588989412,0.04037138942866975,0.1145779784022907
ConceptFAN-StabilityReg,signed,absolute_difference,435,600,0.24152875754317282,0.22632735883817076,0.13053867920779552,0.23125985300341018,0.2507368173044469
PureNoFuzzy,absolute,spearman,435,600,0.08792068965517241,0.09999999999999999,0.5401482672797463,0.05087830459770115,0.12470315134099616
PureNoFuzzy,absolute,kendall,435,600,0.07791800766283524,0.0,0.4650032293933397,0.0453052490421456,0.11227281609195403
PureNoFuzzy,absolute,top1_agreement,435,600,0.23727969348659003,0.0,0.42541595403864535,0.2101955938697318,0.26494808429118777
PureNoFuzzy,absolute,top3_jaccard,435,600,0.5097578544061302,0.5,0.25585836419463853,0.4930571264367816,0.5276391283524904
PureNoFuzzy,absolute,sign_agreement,435,600,1.0,1.0,0.0,1.0,1.0
PureNoFuzzy,absolute,cosine_similarity,435,600,0.5188741365005354,0.524768756229214,0.2951695424195611,0.4954246201486371,0.5405928537796048
PureNoFuzzy,absolute,absolute_difference,435,600,0.21334049452679626,0.19887900636531414,0.128697712652954,0.2055843844313375,0.2217147777631667
PureNoFuzzy,l1_normalized,spearman,435,600,0.08876206896551722,0.09999999999999999,0.5512897866890947,0.039844856321839074,0.13486884099616853
PureNoFuzzy,l1_normalized,kendall,435,600,0.08727816091954024,0.19999999999999998,0.4665082491189514,0.04128260536398468,0.12965220306513406
PureNoFuzzy,l1_normalized,top1_agreement,435,600,0.23727969348659003,0.0,0.42541595403864535,0.21111810344827586,0.26410823754789275
PureNoFuzzy,l1_normalized,top3_jaccard,435,600,0.5097578544061302,0.5,0.25585836419463853,0.49292579501915706,0.5264029214559387
PureNoFuzzy,l1_normalized,sign_agreement,435,600,0.5158620689655172,0.6,0.24710114030118666,0.4946896551724138,0.5388505747126436
PureNoFuzzy,l1_normalized,cosine_similarity,435,600,0.10732582149767744,0.08706130624671168,0.48351958919000004,0.06932232163108194,0.14498674914004947
PureNoFuzzy,l1_normalized,absolute_difference,435,600,0.2906955136866759,0.32708146123602233,0.10528513453510534,0.28116038389071374,0.29989731872964914
PureNoFuzzy,signed,spearman,435,600,0.08876206896551722,0.09999999999999999,0.5512897866890947,0.04013219348659002,0.14019096743295015
PureNoFuzzy,signed,kendall,435,600,0.08727816091954024,0.19999999999999998,0.4665082491189514,0.04875432950191571,0.1317866091954023
PureNoFuzzy,signed,top1_agreement,435,600,0.23727969348659003,0.0,0.42541595403864535,0.20877768199233718,0.2652727969348659
PureNoFuzzy,signed,top3_jaccard,435,600,0.5097578544061302,0.5,0.25585836419463853,0.4937492911877395,0.5278387452107278
PureNoFuzzy,signed,sign_agreement,435,600,0.5158620689655172,0.6,0.24710114030118666,0.4928735632183908,0.5374827586206896
PureNoFuzzy,signed,cosine_similarity,435,600,0.10732582149767744,0.08706130624671168,0.4835195891900001,0.06992841235952116,0.14628758868136574
PureNoFuzzy,signed,absolute_difference,435,600,0.2460188722421266,0.23918354128836655,0.13930579085564235,0.2344498360068618,0.25653388457153165
