model_arm,run_id,init_seed,data_order_seed,channels,best_epoch,epochs_completed,best_validation_AUPRC,selected_calibrator,parameter_sha256,checkpoint_sha256,max_decomposition_error,elapsed_seconds,evaluation_scope,test_used_for_selection,test_read_after_training_and_calibration_selection
ConceptFAN-NoAlpha,run_17_init_67_order_2003,67,2003,V+M+D,5,13,0.4768153766848753,temperature,021df7a1681540d5ec2af0ae9def737832620e008c6f766671e67ba644d9bb4c,9578697b62ca08267429f4aa6d61660c437c3187c96712a0c0fe8214c7bb43db,0.0,4.9370934660000785,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_18_init_67_order_3007,67,3007,V+M+D,5,13,0.4763564804977097,platt,3efeadd20735437e5ba5d0caa88fe2f9ec02956dc2f8822993c0b47558bb0128,ebfc043102403c540e7b1e00c0a81a80571e3aea9c72ed9b80dd863fea672826,0.0,5.054278317998978,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_19_init_79_order_1001,79,1001,V+M+D,4,12,0.4227679384594005,platt,d342c4f2ae2ebdd53e1495f4450752cfbd2d74b350d92fbb51b36497f6ef5ba9,b0f2ed6f7839c225f84404504ea61e0f1e3bf11497ce4a1d845984f1717bb36a,0.0,4.709682286998941,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_20_init_79_order_2003,79,2003,V+M+D,4,12,0.41461461564108626,platt,cb60639ca1b80b77f95d55672f01e94bcf3ea61184747e6475833a6974e5b9c7,07a85f8db40fc9037f3969aa8bcd5a8b06780c5828684eadee8ee929c33ff3a9,0.0,4.909561982000014,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_21_init_79_order_3007,79,3007,V+M+D,4,12,0.4220906821060277,platt,1d88d9ef86afa0f98d921ff3ed75f628569cb2607df9e3bbd68a8742db0aaa71,a9853f42604de50b4cfe2f2e629df621442c8c80362874e25a1222c25b5b6250,0.0,4.732682524001575,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_22_init_83_order_1001,83,1001,V+M+D,19,27,0.47425034104489167,platt,e1c02c3641a0d3d4aa47079aa5ca7164ec93d128cc0f139b55966bfe065a1378,38f0471560da5ddd98a925ac507cae99e82ff4e1a52e8179438d44d7ac058b72,0.0,10.20991950899952,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_23_init_83_order_2003,83,2003,V+M+D,24,32,0.4919408256066823,platt,115165ebf5486fe073ce7db2e97b57f2161a793faec42fef5e998b11a1207da9,ddef253a5f4ce296e28ddca1fe22d21fe4290fdba5083f48709cadf18f818b2d,0.0,11.66679409400058,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_24_init_83_order_3007,83,3007,V+M+D,17,25,0.48416095411693605,platt,54198ac147b92b18960fada204ebbc380ba4b66bde21f9778368507e2d07b63d,0e0befe31c5ff7e575b912e00796fe070651c7130be2534eb593264a6c5e7018,0.0,9.437439747998724,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_25_init_97_order_1001,97,1001,V+M+D,17,25,0.4775673914572908,platt,6e6cf3e7fa578813fafc72c9e392375feefaadc911ec589787d8aa172118224b,5d54d7960caeb3aec710ae68771fa96c6821b4ec35e7f2795aa105f6dba396e2,0.0,11.12214050700095,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_26_init_97_order_2003,97,2003,V+M+D,16,24,0.5031628933533386,platt,165d5a7a16f13dd2202eb1bbbc73f85832470fe0b7a0945bb1d0458194da8295,e3732a68fcdf05f00a23487ab4730e310d576fa6144664a49702578bba022bae,0.0,11.786281845001213,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_27_init_97_order_3007,97,3007,V+M+D,37,45,0.49343736216897716,platt,c815f31df233ede4f158ad5bbe3e4da59cf421e9e40cdabd7479b415b92fd47c,2f074acaf2a7a537e05d963ba59515d53466e637c01394b880b6315937f4e8ff,0.0,16.98914916800095,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_28_init_109_order_1001,109,1001,V+M+D,2,10,0.4577635223024839,platt,56519e74ce6845aca67e5d0c460de9b1a9d29d0ebc6cc40e6f33c49a7a1edbb1,26111caa27642796e45c97f6bed0ae556a0e39a3c3c4cc8759d2b8aacb3fda78,0.0,3.9582253799999307,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_29_init_109_order_2003,109,2003,V+M+D,6,14,0.47227484604793524,platt,4565c315f1591b8d5d62f914348bd8260995f844fa370e520a800acbc1eb10ae,91eabb5823b435d6e26e4e43aca0c6a43809b315aab1e7f9a68e355b874295d9,0.0,5.482323449001342,final_all_frozen_splits,False,True
ConceptFAN-NoAlpha,run_30_init_109_order_3007,109,3007,V+M+D,6,14,0.46543469231085277,platt,409a7b7372cc7182e70f192f1fde1c38a5f12f882349e4646ed241309ec0c4b1,f01f672a7740dd44338e630a04fe698c2280bfed56366acb0c15332c3be403ed,0.0,5.419938913000806,final_all_frozen_splits,False,True
PureNoFuzzy,run_01_init_11_order_1001,11,1001,V+M+D,17,25,0.5552591729498287,platt,b213045ae931bfe2891589eeead0b91147f2c283f76c06e0476266d31b9110f5,e728f4817ae461c22dd2fb35bf0c4abfccf3624d9f81a8285df544abe13c66c5,0.0,8.97158997599945,final_all_frozen_splits,False,True
PureNoFuzzy,run_02_init_11_order_2003,11,2003,V+M+D,19,27,0.5481290553436141,platt,9d23ff8297fc34ea99168716d4229576eb0a93fff6e17984efb2bb6551700b7c,5b031482da265e1fa561c4309b3eabd9bd354eb9fe2a8343d0d6978a7f2a785d,0.0,9.915801385999657,final_all_frozen_splits,False,True
PureNoFuzzy,run_03_init_11_order_3007,11,3007,V+M+D,15,23,0.5493995999936038,platt,5a0f90a30e76109388118523fa47fdf6c4efa284b54ff64a6db5d4265ba54eba,77c86a4702fb2713fc063d84038c894e80b63981470f95e73162f294fce06d71,0.0,8.333433574000082,final_all_frozen_splits,False,True
PureNoFuzzy,run_04_init_23_order_1001,23,1001,V+M+D,10,18,0.5393558577573866,platt,5bbc19e470dbd39a6965197167adbc2be95136ed4f7d81b5175f3fdc2144aa41,731326ffb10c51dad18b94eb084608d9f2802e97bce3a234c2223a1705109403,0.0,7.133646123998915,final_all_frozen_splits,False,True
PureNoFuzzy,run_05_init_23_order_2003,23,2003,V+M+D,16,24,0.5381378892578629,platt,8f60a2ead604e83389ef9eb17667db917e7833eb73e6d5acb380cbe12e6764c3,2fffa2cb94a71616ba8ba244c375c6f259e78698e0a0bdd66c04b0e394345e3e,0.0,9.018559411999377,final_all_frozen_splits,False,True
PureNoFuzzy,run_06_init_23_order_3007,23,3007,V+M+D,15,23,0.545357559684432,platt,2fa2d3c4e7b657d9eed1d4256bafd0349690e70214fc7033e9d5111133c77f3a,f429503efaf2ebb1415b58a631b9461131bd3694ca34299c94667837e607fc34,0.0,8.749301892999938,final_all_frozen_splits,False,True
PureNoFuzzy,run_07_init_37_order_1001,37,1001,V+M+D,7,15,0.48239785324631795,platt,fae07633a4755817f692e67a645048685664652f6e429246561dde9fe0bfe4cf,66f8ebf8e16d71c16cba263b99fa567ae0be73723c9c4f15dd59696d8077f3e6,0.0,5.849225463000039,final_all_frozen_splits,False,True
PureNoFuzzy,run_08_init_37_order_2003,37,2003,V+M+D,7,15,0.4680346921809256,platt,3c97e42aea92abf37529e34b645ba311e6c74e29cc3c223dbc0c8917318df8ab,3a07ba41e2128886d2ebdef21bfefa6e3e47a977cd8af079e93c233723d51e4f,0.0,5.817710843999521,final_all_frozen_splits,False,True
PureNoFuzzy,run_09_init_37_order_3007,37,3007,V+M+D,7,15,0.4850188849841434,platt,4c752076732ade14c2e62219e971d66cc59996d0442a1d567a4073d6468d0d54,7cf3d6d2a582f29caa7cd80280a6af42df6e5cc00ae3989100e8d7fef36fade0,0.0,5.904077627999868,final_all_frozen_splits,False,True
PureNoFuzzy,run_10_init_41_order_1001,41,1001,V+M+D,15,23,0.5305111790657401,platt,ad807d79dee37d0252320bb99e09e45371590ade936ea7db44e481149002eede,350ab73e533b806907bcdd0111901ccfe9ae268fabd48b96723432e895a3d59d,0.0,8.692077132000122,final_all_frozen_splits,False,True
PureNoFuzzy,run_11_init_41_order_2003,41,2003,V+M+D,20,28,0.534034107513592,platt,6d8687d8f8649311b700fab90738b23e3557328fc3896f73fb8d464c60b89be9,ef5100d953282d42bf20dd1c9a68ccf04ced8ed25c771c21eda5df6a16866cbd,0.0,10.864568912000323,final_all_frozen_splits,False,True
PureNoFuzzy,run_12_init_41_order_3007,41,3007,V+M+D,13,21,0.532346639430802,platt,ceabba3a2e1f779fa150ab98adb2aae2df9157645d8a11e7f7ed48223635c2ff,bd86bbc82ce2de4d36c22233f0bd91f979b75c88922ea53b4f42be03b10423e1,0.0,8.029415208999126,final_all_frozen_splits,False,True
PureNoFuzzy,run_13_init_53_order_1001,53,1001,V+M+D,2,10,0.473227468336296,platt,ec79b72b38bf50626bb495ef19482989b2bf0ccb7a568a5cfca6ccd4e34ba0cd,02fb163ab778c6beff6f2f8cda92df89ebcdeb320388d8cc620d949149a06a10,0.0,3.890166195000347,final_all_frozen_splits,False,True
PureNoFuzzy,run_14_init_53_order_2003,53,2003,V+M+D,2,10,0.4680002303126284,platt,273163e7c2b5617782f6fefed886db01c8e03a04ad71b71d49f574c8e33c22be,52eb88ca0f364ab1a8a8f252e34230a75885aca7aa1641bc8fc63d4d2f421761,0.0,4.091632039000615,final_all_frozen_splits,False,True
